run_id,config_id,scaling_parameter,value_of_scaling_parameter,training_time
23,23,context_length,4,0 days 01:41:38.008738
24,24,context_length,8,0 days 01:21:02.756628
25,25,context_length,16,0 days 01:22:28.797071
26,26,context_length,32,0 days 01:30:12.038043
27,27,context_length,64,0 days 01:19:14.127327
28,28,context_length,128,0 days 01:40:48.227430
30,29,context_length,256,0 days 02:28:07.265413
,8,context_length,512,0 days 04:57:53.435409
1,1,d_ff,16,0 days 04:04:21.710980
2,2,d_ff,32,0 days 04:05:51.359354
3,3,d_ff,64,0 days 04:03:03.585425
4,4,d_ff,128,0 days 04:05:57.029441
5,5,d_ff,265,0 days 04:12:54.805509
6,6,d_ff,512,0 days 04:14:19.615707
7,7,d_ff,1024,0 days 04:37:35.295628
,8,d_ff,2048,0 days 04:57:53.435409
55,55,d_ff_d_model,16_4,0 days 03:21:14.678237
56,56,d_ff_d_model,32_8,0 days 03:16:32.596598
65,57,d_ff_d_model,64_16,0 days 03:21:24.465581
57,58,d_ff_d_model,128_32,0 days 03:22:46.535067
59,59,d_ff_d_model,265_64,0 days 03:27:57.420314
61,60,d_ff_d_model,512_128,0 days 03:36:27.940032
60,61,d_ff_d_model,1024_256,0 days 04:02:28.867346
,8,d_ff_d_model,2048_1024,0 days 04:57:53.435409
47,47,d_model,4,0 days 03:45:41.949637
64,48,d_model,8,0 days 03:44:10.818087
66,49,d_model,16,0 days 03:43:28.564504
49,50,d_model,32,0 days 03:46:17.334789
48,51,d_model,64,0 days 03:48:18.726379
52,52,d_model,128,0 days 03:58:02.924204
53,53,d_model,256,0 days 04:15:36.272159
,8,d_model,512,0 days 04:57:53.435409
38,39,max_steps,300,0 days 00:02:35.981903
40,40,max_steps,1000,0 days 00:03:58.156251
42,41,max_steps,3000,0 days 00:06:07.445031
41,42,max_steps,10000,0 days 00:15:55.564383
43,43,max_steps,30000,0 days 00:45:10.753709
44,44,max_steps,60000,0 days 01:30:52.473534
62,62,max_steps,100000, 0 days 2:28:31.12679
,8,max_steps,200000,0 days 04:57:53.435409
31,31,n_tokens,32,0 days 04:45:32.922359
33,32,n_tokens,64,0 days 04:46:04.215769
32,33,n_tokens,128,0 days 04:46:46.501418
34,34,n_tokens,256,0 days 04:48:54.052740
35,35,n_tokens,512,0 days 04:51:23.637276
36,36,n_tokens,1024,0 days 04:54:38.159963
37,37,n_tokens,2048,0 days 04:47:24.411807
,8,n_tokens,4096,0 days 04:57:53.435409
9,9,num_heads,1,0 days 02:24:55.266380
10,10,num_heads,2,0 days 02:45:44.474107
11,11,num_heads,3,0 days 03:08:00.912302
12,12,num_heads,4,0 days 03:27:56.670690
13,13,num_heads,5,0 days 03:45:28.708020
14,14,num_heads,6,0 days 04:07:45.951718
15,15,num_heads,7,0 days 04:28:00.737468
,8,num_heads,8,0 days 04:57:53.435409
17,17,num_layers,1,0 days 01:57:31.533030
18,18,num_layers,2,0 days 02:31:34.396246
19,19,num_layers,3,0 days 03:06:50.259205
20,20,num_layers,4,0 days 03:41:21.943019
21,21,num_layers,5,0 days 04:11:24.664464
,8,num_layers,6,0 days 04:57:53.435409
