run_id,config_id,scaling_parameter,value_of_scaling_parameter,training_time
69,23,context_length,4.0,0 days 02:00:13.113407
71,24,context_length,8.0,0 days 01:57:57.650767
72,25,context_length,16.0,0 days 01:57:57.649616
74,26,context_length,32.0,0 days 02:12:28.431797
75,27,context_length,64.0,0 days 02:14:08.872594
76,28,context_length,128.0,0 days 02:21:36.266661
77,29,context_length,256.0,0 days 02:59:37.424259
,8,context_length,512.0,0 days 05:29:57.910540
49,1,d_ff,16.0,0 days 04:25:28.052623
48,2,d_ff,32.0,0 days 04:51:29.589873
50,3,d_ff,64.0,0 days 04:56:46.215808
51,4,d_ff,128.0,0 days 04:56:46.172151
54,5,d_ff,265.0,0 days 04:57:42.435107
52,6,d_ff,512.0,0 days 04:57:46.118149
47,7,d_ff,1024.0,0 days 05:03:33.840185
,8,d_ff,2048.0,0 days 05:29:57.910540
108,47,d_model,4.0,0 days 04:00:23.578044
105,48,d_model,8.0,0 days 03:57:02.509054
101,49,d_model,16.0,0 days 03:56:07.921050
102,50,d_model,32.0,0 days 04:00:56.414665
107,51,d_model,64.0,0 days 04:01:36.862451
104,52,d_model,128.0,0 days 04:12:19.019388
106,53,d_model,256.0,0 days 04:31:56.325624
,8,d_model,512.0,0 days 05:29:57.910540
87,39,max_steps,300.0,0 days 00:17:13.426582
85,40,max_steps,1000.0,0 days 00:20:22.672952
86,41,max_steps,3000.0,0 days 00:24:19.339128
90,42,max_steps,10000.0,0 days 00:18:45.675213
91,43,max_steps,30000.0,0 days 00:47:22.516606
92,44,max_steps,60000.0,0 days 02:08:09.190705
88,45,max_steps,120000.0,0 days 03:37:40.471928
,8,max_steps,200000.0,0 days 05:29:57.910540
55,9,num_heads,1.0,0 days 03:21:16.473601
53,10,num_heads,2.0,0 days 03:22:35.311827
60,11,num_heads,3.0,0 days 03:45:31.756379
61,12,num_heads,4.0,0 days 04:07:00.944819
59,13,num_heads,5.0,0 days 04:27:30.990846
63,14,num_heads,6.0,0 days 04:53:06.730935
62,15,num_heads,7.0,0 days 05:05:52.479302
,8,num_heads,8.0,0 days 05:29:57.910540
58,17,num_layers,1.0,0 days 02:35:31.119290
67,18,num_layers,2.0,0 days 02:45:26.843322
64,19,num_layers,3.0,0 days 03:43:52.398156
66,20,num_layers,4.0,0 days 03:56:08.692658
65,21,num_layers,5.0,0 days 04:33:10.018705
,8,num_layers,6.0,0 days 05:29:57.910540











